AKAZE    ORB
0.46	0.84
0.00	0.00
0.62	findHomography error
0.80	0.27
0.00	0.00
0.00	0.00
0.00	0.00
0.38	0.00
0.00	0.00
0.05	1.00
0.00	0.00
0.25	0.00
0.00	0.00
0.09	0.00
0.82	0.00
0.92	1.00
0.00	0.00
0.88	0.50
0.97	0.00
0.00	0.30
0.70	0.00
1.00	0.50
0.05	0.22
0.11	0.00
0.29	0.18
0.50	0.11
0.00	0.00
0.12	0.00
0.30	0.00
0.00	0.00
0.06	0.00
0.07	0.00
0.09	0.00
0.30	0.23
0.75	findHomography error
0.59	0.00
0.00	0.00
0.00	0.33
0.90	0.00
0.00	0.00
0.07	0.00
0.00	0.00
0.17	0.00
0.55	0.00
0.46	findHomography error
0.25	0.00
0.00	1.00
0.15	0.33
0.00	0.22
0.00	0.25
0.31	0.00
0.00	0.00
0.93	0.00
0.13	0.00
0.13	0.00
0.12	0.00
0.10	0.00
0.00	0.00
0.00	0.00
0.00	0.19
0.10	0.36
0.22	0.06
0.00	0.00
0.17	0.40
0.00	0.04
0.33	0.00
0.00	findHomography error
0.00	0.00
0.42	0.00
0.00	0.12
0.00	0.25
0.96	0.00
0.05	1.00
0.00	0.00
0.20	0.00
0.98	0.00
0.37	0.00
0.00	0.00
0.00	0.00
1.00	0.27
0.00	0.50
0.00	0.00
0.00	0.12
0.18	0.00
0.57	0.00
0.58	0.45
0.08	findHomography error
0.00	0.00
0.25	0.00
0.91	0.00
0.00	0.11
1.00	0.00
0.00	0.33
0.00	0.11
0.09	0.00
0.55	0.00
0.18	0.20
0.89	0.25
1.00	findHomography error
0.00	0.30
0.00	0.11
0.00	0.00
0.20	0.00
0.79	0.00
0.70	0.00
0.00	findHomography error
0.00	0.00
0.00	0.50
0.00	0.00
0.91	0.00
0.00	0.00
0.07	0.10
0.33	0.00
0.00	0.38
0.31	findHomography error
0.15	findHomography error
0.45	0.33
0.92	0.00
0.05	0.38
0.00	0.11
0.30	0.00
