AKAZE    ORB
83.50	44.58
72.08	55.17
82.00	findHomography error
79.30	49.91
70.88	50.43
80.29	55.00
75.70	53.30
84.62	53.45
70.41	51.67
75.16	58.73
80.82	60.50
70.56	54.08
92.55	54.29
87.04	47.10
70.64	46.75
76.49	45.00
78.73	54.36
93.38	57.75
77.95	48.35
77.68	52.20
84.45	46.29
71.49	42.43
83.89	50.00
89.84	56.75
79.76	63.55
70.70	57.11
80.94	57.77
78.77	51.78
80.26	50.78
91.29	53.33
79.83	56.15
79.47	53.50
75.27	51.42
90.80	55.31
85.29	findHomography error
79.69	58.38
82.20	53.43
87.84	56.17
79.85	44.36
92.22	49.38
77.60	49.30
78.74	43.93
73.06	49.29
85.55	44.33
90.77	findHomography error
83.83	57.18
79.00	55.12
93.38	50.89
80.42	54.33
77.27	51.50
78.15	52.27
83.80	55.75
74.65	48.14
78.61	49.22
82.43	51.75
93.56	49.61
74.50	52.21
80.69	53.25
83.59	49.73
79.40	48.75
81.60	51.00
79.52	49.81
75.44	49.62
79.83	48.40
73.17	46.42
81.33	47.06
77.88	findHomography error
81.13	52.00
75.17	50.12
77.00	55.88
76.40	54.62
75.27	43.60
76.32	46.92
74.11	49.54
81.60	57.30
74.95	46.12
94.79	53.05
100.79	58.12
88.79	52.47
99.84	48.13
78.19	54.79
86.50	55.38
86.20	51.75
90.27	49.00
92.14	52.17
77.42	53.55
76.83	findHomography error
99.56	50.25
89.44	48.00
67.79	46.40
79.75	49.89
76.84	52.86
78.50	46.00
79.75	49.89
80.00	48.86
73.82	51.14
70.18	52.30
71.33	46.58
75.80	findHomography error
78.12	53.50
94.48	58.89
76.00	60.00
80.30	53.25
80.00	61.56
77.60	44.53
81.90	findHomography error
82.76	53.89
86.93	48.25
84.17	44.08
85.09	45.26
80.32	49.92
90.93	53.10
84.11	53.57
104.27	55.75
95.77	findHomography error
88.54	findHomography error
74.27	49.17
77.75	53.14
105.47	54.92
88.93	56.89
78.40	51.43
