AKAZE    ORB
71.94	46.55
93.96	56.80
89.08	60.50
73.77	47.38
106.78	55.89
99.93	57.62
113.78	57.67
111.16	59.46
110.95	findHomography error
95.39	53.76
84.09	52.56
90.89	56.11
88.33	53.94
89.43	47.46
92.33	findHomography error
104.11	58.11
108.52	56.58
100.78	57.27
96.60	56.29
90.93	54.86
97.25	52.57
97.25	52.57
87.30	45.33
91.53	45.78
92.43	53.29
79.92	48.41
93.91	52.81
94.44	45.00
100.18	61.33
95.94	48.00
80.45	47.77
90.12	50.19
89.47	49.68
85.73	43.37
84.00	43.78
70.59	42.59
96.00	52.27
88.10	49.41
93.46	51.59
102.05	52.93
102.04	49.21
115.76	50.18
118.11	47.54
97.62	57.10
85.68	47.75
90.33	59.38
89.29	findHomography error
87.73	58.42
82.22	55.92
84.87	52.91
86.78	54.73
83.38	56.00
83.27	55.00
73.22	41.46
72.45	52.36
88.82	56.64
83.27	51.67
85.54	47.42
98.91	findHomography error
96.31	55.38
81.58	54.93
89.23	53.12
100.50	52.86
87.81	46.02
0.00	0.00
85.00	54.00
98.15	51.61
99.43	59.83
102.17	59.10
83.73	43.89
84.28	42.23
90.58	47.87
83.08	46.97
100.71	51.11
84.37	44.49
78.25	46.39
93.59	47.40
98.50	52.92
87.73	42.33
108.07	findHomography error
93.06	63.71
93.79	62.00
92.00	63.12
75.44	67.67
115.43	59.85
98.30	54.60
114.08	53.75
99.91	56.29
115.31	53.20
90.21	57.17
96.72	62.11
86.75	54.88
96.42	55.18
94.21	55.62
76.06	53.56
95.44	54.75
77.62	57.00
81.85	54.71
91.25	55.09
